Date,Time,InstructorName,Minutes,Activity Type,Class,Title,TotalOutput,AvgWatts,AvgResistance,AvgCadence,AvgSpeed,Distance,Calories,AvgHR
3/25/20 0:00,4:59:00 PM,Olivia Amato,30,Cycling,Power Zone,30 min Power Zone Endurance Ride,192,107,0.37,87,16.58,8.28,210,120.84
3/25/20 0:00,5:31:00 PM,Ben Alldis,15,Cycling,Low Impact,15 min Low Impact Ride,91,101,0.4,77,16.24,4.05,97,116.11
3/29/20 0:00,4:39:00 PM,Christine D'Ercole,30,Cycling,Low Impact,30 min Low Impact Ride,173,96,0.36,85,15.84,7.91,190,114.87
3/30/20 0:00,3:24:00 PM,Matt Wilpers,15,Cycling,Power Zone,15 min FTP Warm Up Ride,85,94,0.37,86,15.56,3.89,104,120.3
3/30/20 0:00,3:41:00 PM,Matt Wilpers,20,Cycling,Power Zone,20 min FTP Test Ride,187,156,0.48,76,19.42,6.47,212,152.27
3/30/20 0:00,4:04:00 PM,Sam Yo,15,Cycling,Low Impact,15 min Low Impact Ride,67,74,0.34,80,14.24,3.55,107,122.13
3/31/20 0:00,5:50:00 PM,Jenn Sherman,30,Cycling,Low Impact,30 min Low Impact Ride,164,91,0.38,78,15.49,7.76,184,113.11
3/31/20 0:00,6:21:00 PM,Ally Love,5,Cycling,Low Impact,5 min Cool Down Ride,25,85,0.38,77,15.11,1.25,26,105.46
4/1/2020  4,:48:00 PM,Olivia Amato,5,Cycling,Low Impact,5 min Warm Up Ride,24,79,0.32,91,14.6,1.21,28,108.29
4/1/2020  4,:55:00 PM,Christine D'Ercole,45,Cycling,Power Zone,45 min Power Zone Endurance Ride,290,107,0.39,83,16.62,12.46,311,119.9
4/1/2020  5,:41:00 PM,Denis Morton,10,Cycling,Low Impact,10 min Cool Down Ride,49,82,0.32,92,14.95,2.49,59,110.74
4/5/2020  4,:57:00 PM,Matt Wilpers,45,Cycling,Power Zone,45 min Power Zone Endurance Ride,286,106,0.37,88,16.52,12.39,325,122.55
4/5/2020  5,:43:00 PM,Matt Wilpers,5,Cycling,Low Impact,5 min Cool Down Ride,20,68,0.29,92,13.76,1.14,26,105.26
4/9/2020  4,:15:00 PM,Denis Morton,45,Cycling,Power Zone,45 min Power Zone Endurance Ride,254,94,0.37,82,15.66,11.74,256,105.93
4/9/2020  5,:02:00 PM,Leanne Hainsby,15,Cycling,Low Impact,15 min Cool Down Ride,72,80,0.37,76,14.77,3.69,66,97.67
4/14/20 0:00,4:14:00 PM,Matt Wilpers,60,Cycling,Power Zone,60 min Power Zone Endurance Ride,376,105,0.39,81,16.43,16.42,379,114.64
4/14/20 0:00,5:14:00 PM,Matt Wilpers,5,Cycling,Low Impact,5 min Cool Down Ride,21,69,0.3,89,13.81,1.14,22,97.17
4/15/20 0:00,4:22:00 PM,Matt Wilpers,60,Cycling,Power Zone,60 min Power Zone Ride,416,116,0.38,87,17.02,17.01,482,129.66
4/15/20 0:00,5:24:00 PM,Christine D'Ercole,10,Cycling,Low Impact,10 min Low Impact Ride,56,94,0.35,88,15.72,2.61,73,123
4/17/20 0:00,4:18:00 PM,Christine D'Ercole,60,Cycling,Climb,60 min Climb Ride,387,108,0.42,74,16.51,16.51,423,121.17
4/17/20 0:00,5:19:00 PM,Hannah Frankson,10,Cycling,Low Impact,10 min Cool Down Ride,61,101,0.4,78,16.25,2.71,68,118.74
4/19/20 0:00,1:36:00 PM,Matt Wilpers,90,Cycling,Power Zone,90 min Power Zone Endurance Ride,591,110,0.4,82,16.77,25.15,712,128.63
4/19/20 0:00,3:08:00 PM,Christine D'Ercole,30,Cycling,Low Impact,30 min Low Impact Ride,160,89,0.38,78,15.36,7.67,215,122.1
4/26/20 0:00,4:36:00 PM,Jess King,30,Cycling,Low Impact,30 min Low Impact Ride,179,99,0.39,79,16.11,8.05,174,110.16
4/26/20 0:00,5:07:00 PM,Ally Love,5,Cycling,Low Impact,5 min Cool Down Ride,29,97,0.4,76,16.02,1.33,25,103.8
4/29/20 0:00,4:31:00 PM,Denis Morton,45,Cycling,Power Zone,45 min Power Zone Ride,287,106,0.37,86,16.41,12.3,286,114.86
4/29/20 0:00,5:19:00 PM,Matt Wilpers,45,Cycling,Power Zone,45 min Power Zone Endurance Ride,273,101,0.37,83,16.09,12.07,257,109.26
4/30/20 0:00,5:03:00 PM,Christine D'Ercole,60,Cycling,Power Zone,60 min Power Zone Endurance Ride,384,107,0.36,90,16.5,16.49,552,139.86
4/30/20 0:00,6:05:00 PM,Leanne Hainsby,10,Cycling,Low Impact,10 min Low Impact Ride,61,101,0.39,79,16.21,2.7,93,140.83
5/3/2020  3,:00:00 PM,Matt Wilpers,90,Cycling,Power Zone,90 min Power Zone Endurance Ride,586,109,0.38,85,16.67,25.01,602,117.94
